date,daily_fees_usd,daily_revenue_usd,daily_volume_usd,tvl_usd,month
2023-09-13,225.0,225.0,,144253095,2023-09
2023-09-14,904.0,904.0,,144673443,2023-09
2023-09-15,676.0,676.0,,145562196,2023-09
2023-09-16,362.0,362.0,,148588398,2023-09
2023-09-17,177.0,177.0,,147643358,2023-09
2023-09-18,465.0,465.0,,147563479,2023-09
2023-09-19,817.0,817.0,,148113643,2023-09
2023-09-20,370.0,370.0,,149703948,2023-09
2023-09-21,1272.0,1272.0,,149623434,2023-09
2023-09-22,993.0,993.0,,148022193,2023-09
2023-09-23,499.0,499.0,,149500785,2023-09
2023-09-24,376.0,376.0,,149607441,2023-09
2023-09-25,254.0,254.0,,148717010,2023-09
2023-09-26,391.0,391.0,,149593292,2023-09
2023-09-27,1001.0,1001.0,,149208861,2023-09
2023-09-28,840.0,840.0,,152172151,2023-09
2023-09-29,497.0,497.0,,156075775,2023-09
2023-09-30,456.0,456.0,,157861726,2023-09
2023-10-01,495.0,495.0,,158348105,2023-10
2023-10-02,1047.0,1047.0,,162843027,2023-10
2023-10-03,616.0,616.0,,158909388,2023-10
2023-10-04,487.0,487.0,,159869599,2023-10
2023-10-05,1044.0,1044.0,,161841564,2023-10
2023-10-06,1523.0,1523.0,,159885293,2023-10
2023-10-07,625.0,625.0,,163506064,2023-10
2023-10-08,532.0,532.0,,162776274,2023-10
2023-10-09,497.0,497.0,,163513536,2023-10
2023-10-10,581.0,581.0,,160970625,2023-10
2023-10-11,711.0,711.0,,158716716,2023-10
2023-10-12,1636.0,1636.0,,159960851,2023-10
2023-10-13,649.0,649.0,,162086626,2023-10
2023-10-14,662.0,662.0,,163703840,2023-10
2023-10-15,469.0,469.0,,164134194,2023-10
2023-10-16,722.0,722.0,,164365628,2023-10
2023-10-17,1371.0,1371.0,,171980157,2023-10
2023-10-18,995.0,995.0,,165886072,2023-10
2023-10-19,1635.0,1635.0,,166157954,2023-10
2023-10-20,753.0,753.0,,165902731,2023-10
2023-10-21,609.0,609.0,,168974971,2023-10
2023-10-22,1544.0,1544.0,,171363523,2023-10
2023-10-23,1749.0,1749.0,,173268991,2023-10
2023-10-24,1268.0,1268.0,,184984754,2023-10
2023-10-25,1088.0,1088.0,,185824368,2023-10
2023-10-26,2416.0,2416.0,,186481172,2023-10
2023-10-27,923.0,923.0,,187452072,2023-10
2023-10-28,1184.0,1184.0,,186583295,2023-10
2023-10-29,698.0,698.0,,186382445,2023-10
2023-10-30,762.0,762.0,,189553614,2023-10
2023-10-31,595.0,595.0,,191490592,2023-10
2023-11-01,1035.0,1035.0,,191931873,2023-11
2023-11-02,2071.0,2071.0,,195900372,2023-11
2023-11-03,435.0,435.0,,187943757,2023-11
2023-11-04,926.0,926.0,,191804067,2023-11
2023-11-05,1046.0,1046.0,,195119639,2023-11
2023-11-06,1388.0,1388.0,,194908709,2023-11
2023-11-07,625.0,625.0,,196832142,2023-11
2023-11-08,1026.0,1026.0,,196610436,2023-11
2023-11-09,1949.0,1949.0,,193236705,2023-11
2023-11-10,1426.0,1426.0,,221071998,2023-11
2023-11-11,1543.0,1543.0,,221090375,2023-11
2023-11-12,1770.0,1770.0,,219440085,2023-11
2023-11-13,598.0,598.0,,219074432,2023-11
2023-11-14,997.0,997.0,,218735723,2023-11
2023-11-15,1277.0,1277.0,,214697129,2023-11
2023-11-16,1291.0,1291.0,,221021749,2023-11
2023-11-17,738.0,738.0,,212778958,2023-11
2023-11-18,1113.0,1113.0,,213993507,2023-11
2023-11-19,1181.0,1181.0,,222339481,2023-11
2023-11-20,1211.0,1211.0,,227483183,2023-11
2023-11-21,1257.0,1257.0,,228605489,2023-11
2023-11-22,846.0,846.0,,220709479,2023-11
2023-11-23,1253.0,1253.0,,231443622,2023-11
2023-11-24,1473.0,1473.0,,234570268,2023-11
2023-11-25,1170.0,1170.0,,236257438,2023-11
2023-11-26,1284.0,1284.0,,236207861,2023-11
2023-11-27,1460.0,1460.0,,234477552,2023-11
2023-11-28,867.0,867.0,,231596434,2023-11
2023-11-29,1446.0,1446.0,,233029933,2023-11
2023-11-30,832.0,832.0,,231954053,2023-11
2023-12-01,420.0,420.0,,234528218,2023-12
2023-12-02,1143.0,1143.0,,237906807,2023-12
2023-12-03,1131.0,1131.0,,243117152,2023-12
2023-12-04,1373.0,1373.0,,253005260,2023-12
2023-12-05,744.0,744.0,,253842056,2023-12
2023-12-06,1057.0,1057.0,,258384199,2023-12
2023-12-07,2861.0,2861.0,,261952987,2023-12
2023-12-08,1230.0,1230.0,,272712954,2023-12
2023-12-09,1029.0,1029.0,,269229133,2023-12
2023-12-10,1513.0,1513.0,,266871339,2023-12
2023-12-11,1406.0,1406.0,,267164254,2023-12
2023-12-12,2075.0,2075.0,,251135782,2023-12
2023-12-13,946.0,946.0,,249008392,2023-12
2023-12-14,1746.0,1520.0,,253350904,2023-12
2023-12-15,2129.0,1736.0,,255916067,2023-12
2023-12-16,709.0,591.0,,243568595,2023-12
2023-12-17,2678.0,2206.0,,243606348,2023-12
2023-12-18,754.0,634.0,,234515837,2023-12
2023-12-19,1622.0,1362.0,,240506336,2023-12
2023-12-20,1174.0,965.0,,237121387,2023-12
2023-12-21,1649.0,1422.0,,231918648,2023-12
2023-12-22,822.0,710.0,,238833671,2023-12
2023-12-23,2840.0,2471.0,,244650631,2023-12
2023-12-24,921.0,784.0,,245938779,2023-12
2023-12-25,1498.0,1278.0,,243349179,2023-12
2023-12-26,1115.0,999.0,,242890651,2023-12
2023-12-27,1064.0,901.0,,237678467,2023-12
2023-12-28,1471.0,1211.0,,248089191,2023-12
2023-12-29,2535.0,2232.0,,242809340,2023-12
2023-12-30,1764.0,1618.0,,235666860,2023-12
2023-12-31,1037.0,935.0,,234009336,2023-12
2024-01-01,1900.0,1713.0,,233674555,2024-01
2024-01-02,1885.0,1675.0,,239957841,2024-01
2024-01-03,1364.0,1188.0,,237252020,2024-01
2024-01-04,1876.0,1759.0,,229490621,2024-01
2024-01-05,850.0,738.0,,238581530,2024-01
2024-01-06,1118.0,978.0,,237448771,2024-01
2024-01-07,2522.0,2333.0,,234925722,2024-01
2024-01-08,2120.0,1828.0,,236151411,2024-01
2024-01-09,2436.0,2239.0,,219749090,2024-01
2024-01-10,1459.0,1233.0,,220338371,2024-01
2024-01-11,4534.0,4234.0,,240549376,2024-01
2024-01-12,4326.0,3565.0,,251966648,2024-01
2024-01-13,4341.0,3569.0,,249579468,2024-01
2024-01-14,3591.0,3240.0,,261488895,2024-01
2024-01-15,2842.0,2405.0,,264738631,2024-01
2024-01-16,3989.0,3450.0,,273720919,2024-01
2024-01-17,6755.0,5868.0,,291494493,2024-01
2024-01-18,2945.0,2490.0,,305234266,2024-01
2024-01-19,5498.0,4744.0,,314537652,2024-01
2024-01-20,5314.0,4463.0,,340633527,2024-01
2024-01-21,4047.0,3502.0,,340628990,2024-01
