chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,pool,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception
Ethereum,sparklend,RSETH,9053521,0.0,,0.0,,0bcdb195-31ed-4ac5-9f67-5f377758a6e6,0.0,0.0,0.0,False,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",,0.0,0.0,376,False,['0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7'],,,0.0,,,
Flare,sparkdex-v4,STXRP-FXRP,6490646,0.09419,1.56448,1.65867,['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e'],fe56d007-4f9f-4eaf-84e2-ea4248769975,0.08569,-0.13776,,False,yes,multi,"{'predictedClass': 'Stable/Up', 'predictedProbability': 83, 'binnedConfidence': 3}",,1.77608,0.00788,15,False,"['0x4c18ff3c89632c3dd62e796c0afa5c07c4c1b2b3', '0xad552a648c74d49e10027ab8a618a3ad4901c5be']",,,1.82058,,,
Ethereum,sky-lending,WBTC,5335648,,,0.0,,4dab1166-614a-429a-831f-4af70fd29c7d,0.0,0.0,0.0,False,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",WBTC-C,0.0,0.0,1254,False,['0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599'],,,0.0,,,
Ethereum,sparklend,SUSDS,3436234,0.0,,0.0,,d3694b72-5bc4-44c9-8ab6-1fc7941d216a,0.0,0.0,0.0,True,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",,0.0,0.0,532,False,['0xa3931d71877C0E7a3148CB7Eb4463524FEc27fbD'],,,0.0,,,
Flare,sparkdex-v4,USD₮0-USDC.E,2554700,0.30562,6.11053,6.41615,['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e'],d0230aad-1f7d-418f-bb92-fbb4acd9581a,0.06951,0.18516,,False,yes,multi,"{'predictedClass': 'Stable/Up', 'predictedProbability': 57.99999999999999, 'binnedConfidence': 1}",,7.61777,0.07199,15,False,"['0xe7cd86e13ac4309349f30b3435a9d337750fc82d', '0xfbda5f676cb37624f28265a144a48b0d6e87d3b6']",,,7.74988,,,
Ethereum,sparklend,USDC,2067028,4.04963,,4.04963,,65ce8276-b4d9-41ba-9f6f-21fc374cf9bc,-0.0718,0.02067,-0.327,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 66, 'binnedConfidence': 2}",,5.4397,0.15947,888,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,4.1439,,,
Flare,sparkdex-v4,FXRP-USD₮0,1797738,18.08654,17.47679,35.56333,['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e'],edf74623-c808-4dae-91a2-dd3573884832,15.46821,2.58708,,False,yes,multi,"{'predictedClass': 'Down', 'predictedProbability': 89, 'binnedConfidence': 3}",,27.90315,0.22476,15,False,"['0xad552a648c74d49e10027ab8a618a3ad4901c5be', '0xe7cd86e13ac4309349f30b3435a9d337750fc82d']",,,27.23404,,,
Flare,sparkdex-v4,WFLR-USD₮0,1600161,5.40854,22.82494,28.23348,"['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e', '0x1d80c49bbbcd1c0911346656b529df9e5c2f783d']",8a754192-739c-4381-8fd7-05ee1cb29867,3.52982,-7.27607,,False,yes,multi,"{'predictedClass': 'Down', 'predictedProbability': 84, 'binnedConfidence': 3}",,33.53774,0.21446,15,True,"['0x1d80c49bbbcd1c0911346656b529df9e5c2f783d', '0xe7cd86e13ac4309349f30b3435a9d337750fc82d']",,,34.01313,,,
Ethereum,sparklend,TBTC,1570033,0.0,,0.0,,8f534305-c14b-42bb-954d-702270e79c06,0.0,0.0,0.0,False,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",,0.01618,0.00182,378,False,['0x18084fbA666a33d37592fA2633fD49a74DD93a88'],,,0.0,,,
Flare,sparkdex-v3.1,USD₮0-CUSDX,1382948,1.1182,7.5302,8.6484,['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e'],da4359c3-cb79-4046-8e68-3abff444b56a,-0.00426,2.31616,-1.34545,False,yes,multi,"{'predictedClass': 'Stable/Up', 'predictedProbability': 62, 'binnedConfidence': 2}",,16.22764,0.3172,287,False,"['0xe7cd86e13ac4309349f30b3435a9d337750fc82d', '0xfe2907dfa8db6e320cdbf45f0aa888f6135ec4f8']",,,10.2446,,,
